address,category,generalized_pattern,sample_value,inferred_type
/Aux_Outputs/1/Dynamics/comp_knee_4,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_knee_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/Dynamics/comp_listen_1,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_listen_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/Dynamics/comp_listen_2,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_listen_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/Dynamics/comp_listen_3,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_listen_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/Dynamics/comp_ratio_1,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_ratio_{n},[3.0],float
/Aux_Outputs/1/Dynamics/comp_ratio_2,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_ratio_{n},[2.0],float
/Aux_Outputs/1/Dynamics/comp_ratio_3,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_ratio_{n},[2.0],float
/Aux_Outputs/1/Dynamics/comp_ratio_4,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_ratio_{n},[3.0],float
/Aux_Outputs/1/Dynamics/comp_release_1,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_release_{n},[0.5],float
/Aux_Outputs/1/Dynamics/comp_release_2,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_release_{n},[0.20000000298023224],float
/Aux_Outputs/1/Dynamics/comp_release_3,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_release_{n},[0.4000000059604645],float
/Aux_Outputs/1/Dynamics/comp_thresh_1,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_thresh_{n},[-20.0],float
/Aux_Outputs/1/Dynamics/comp_thresh_2,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_thresh_{n},[-20.0],float
/Aux_Outputs/1/Dynamics/comp_thresh_3,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/comp_thresh_{n},[-20.0],float
/Aux_Outputs/1/Dynamics/desser_centre_freq,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/desser_centre_freq,[127.0],float
/Aux_Outputs/1/Dynamics/desser_freq_width,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/desser_freq_width,[255.0],float
/Aux_Outputs/1/Dynamics/gate_attack,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/gate_attack,[0.0020000000949949026],float
/Aux_Outputs/1/Dynamics/gate_centre_freq,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/gate_centre_freq,[127.0],float
/Aux_Outputs/1/Dynamics/gate_freq_width,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/gate_freq_width,[255.0],float
/Aux_Outputs/1/Dynamics/gate_in,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/gate_in,[0.0],float (0/1 flag)
/Aux_Outputs/1/Dynamics/gate_release,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/gate_release,[0.14000000059604645],float
/Aux_Outputs/1/Dynamics/gate_thresh,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/gate_thresh,[-20.0],float
/Aux_Outputs/1/Dynamics/input_meter/left,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/input_meter/left,[],none (meter/empty)
/Aux_Outputs/1/Dynamics/input_meter/right,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/input_meter/right,[],none (meter/empty)
/Aux_Outputs/1/Dynamics/key_solo,Aux_Outputs,/Aux_Outputs/{n}/Dynamics/key_solo,[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/GR_meter_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/GR_meter_{n},[],none (meter/empty)
/Aux_Outputs/1/EQ/GR_meter_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/GR_meter_{n},[],none (meter/empty)
/Aux_Outputs/1/EQ/GR_meter_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/GR_meter_{n},[],none (meter/empty)
/Aux_Outputs/1/EQ/GR_meter_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/GR_meter_{n},[],none (meter/empty)
/Aux_Outputs/1/EQ/dynamic_eq_on_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/dynamic_eq_on_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/dynamic_eq_on_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/dynamic_eq_on_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/dynamic_eq_on_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/dynamic_eq_on_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/dynamic_eq_on_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/dynamic_eq_on_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_Q_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_Q_{n},[0.7099999785423279],float
/Aux_Outputs/1/EQ/eq_Q_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_Q_{n},[0.7099999785423279],float
/Aux_Outputs/1/EQ/eq_Q_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_Q_{n},[0.7099999785423279],float
/Aux_Outputs/1/EQ/eq_Q_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_Q_{n},[0.7099999785423279],float
/Aux_Outputs/1/EQ/eq_Q_5,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_Q_{n},[0.7099999785423279],float
/Aux_Outputs/1/EQ/eq_Q_6,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_Q_{n},[0.7099999785423279],float
/Aux_Outputs/1/EQ/eq_Q_7,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_Q_{n},[0.7099999785423279],float
/Aux_Outputs/1/EQ/eq_Q_8,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_Q_{n},[0.7099999785423279],float
/Aux_Outputs/1/EQ/eq_attack_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_attack_{n},[0.009999999776482582],float
/Aux_Outputs/1/EQ/eq_attack_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_attack_{n},[0.014999999664723873],float
/Aux_Outputs/1/EQ/eq_attack_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_attack_{n},[0.02500000037252903],float
/Aux_Outputs/1/EQ/eq_attack_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_attack_{n},[0.05000000074505806],float
/Aux_Outputs/1/EQ/eq_curve_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_curve_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_curve_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_curve_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_curve_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_curve_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_curve_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_curve_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_curve_5,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_curve_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_curve_6,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_curve_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_curve_7,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_curve_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_curve_8,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_curve_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_freq_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_freq_{n},[8000.0],float
/Aux_Outputs/1/EQ/eq_freq_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_freq_{n},[4000.0],float
/Aux_Outputs/1/EQ/eq_freq_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_freq_{n},[100.0],float
/Aux_Outputs/1/EQ/eq_freq_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_freq_{n},[50.0],float
/Aux_Outputs/1/EQ/eq_freq_5,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_freq_{n},[2000.0],float
/Aux_Outputs/1/EQ/eq_freq_6,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_freq_{n},[1000.0],float
/Aux_Outputs/1/EQ/eq_freq_7,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_freq_{n},[500.0],float
/Aux_Outputs/1/EQ/eq_freq_8,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_freq_{n},[250.0],float
/Aux_Outputs/1/EQ/eq_gain_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_gain_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_gain_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_gain_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_gain_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_gain_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_gain_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_gain_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_gain_5,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_gain_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_gain_6,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_gain_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_gain_7,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_gain_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_gain_8,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_gain_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_in,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_in,[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_on_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_on_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_on_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_on_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_on_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_on_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_on_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_on_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_on_5,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_on_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_on_6,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_on_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_on_7,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_on_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_on_8,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_on_{n},[1.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_over-under_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_over-under_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_over-under_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_over-under_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_over-under_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_over-under_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_over-under_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_over-under_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_pre-ins,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_pre-ins,[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_ratio_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_ratio_{n},[2.0],float
/Aux_Outputs/1/EQ/eq_ratio_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_ratio_{n},[2.0],float
/Aux_Outputs/1/EQ/eq_ratio_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_ratio_{n},[2.0],float
/Aux_Outputs/1/EQ/eq_ratio_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_ratio_{n},[2.0],float
/Aux_Outputs/1/EQ/eq_release_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_release_{n},[0.30000001192092896],float
/Aux_Outputs/1/EQ/eq_release_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_release_{n},[0.3499999940395355],float
/Aux_Outputs/1/EQ/eq_release_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_release_{n},[0.4000000059604645],float
/Aux_Outputs/1/EQ/eq_release_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_release_{n},[0.6000000238418579],float
/Aux_Outputs/1/EQ/eq_symm_Q_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_symm_Q_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_symm_Q_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_symm_Q_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_symm_Q_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_symm_Q_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_symm_Q_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_symm_Q_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_symm_Q_5,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_symm_Q_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_symm_Q_6,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_symm_Q_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_symm_Q_7,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_symm_Q_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_symm_Q_8,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_symm_Q_{n},[0.0],float (0/1 flag)
/Aux_Outputs/1/EQ/eq_thresh_1,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_thresh_{n},[-36.0],float
/Aux_Outputs/1/EQ/eq_thresh_2,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_thresh_{n},[-36.0],float
/Aux_Outputs/1/EQ/eq_thresh_3,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_thresh_{n},[-36.0],float
/Aux_Outputs/1/EQ/eq_thresh_4,Aux_Outputs,/Aux_Outputs/{n}/EQ/eq_thresh_{n},[-36.0],float
/Aux_Outputs/1/Insert/insert_A_in,Aux_Outputs,/Aux_Outputs/{n}/Insert/insert_A_in,[0.0],float (0/1 flag)
/Aux_Outputs/1/Insert/insert_B_in,Aux_Outputs,/Aux_Outputs/{n}/Insert/insert_B_in,[0.0],float (0/1 flag)
/Aux_Outputs/1/Output/dir_meter/left,Aux_Outputs,/Aux_Outputs/{n}/Output/dir_meter/left,[],none (meter/empty)
/Aux_Outputs/1/Output/dir_meter/right,Aux_Outputs,/Aux_Outputs/{n}/Output/dir_meter/right,[],none (meter/empty)
/Aux_Outputs/1/Output/meter/LFE,Aux_Outputs,/Aux_Outputs/{n}/Output/meter/LFE,[],none (meter/empty)
/Aux_Outputs/1/Output/meter/SL,Aux_Outputs,/Aux_Outputs/{n}/Output/meter/SL,[],none (meter/empty)
/Aux_Outputs/1/Output/meter/SR,Aux_Outputs,/Aux_Outputs/{n}/Output/meter/SR,[],none (meter/empty)
/Aux_Outputs/1/Output/meter/centre,Aux_Outputs,/Aux_Outputs/{n}/Output/meter/centre,[],none (meter/empty)
/Aux_Outputs/1/Output/meter/left,Aux_Outputs,/Aux_Outputs/{n}/Output/meter/left,[],none (meter/empty)
/Aux_Outputs/1/Output/meter/right,Aux_Outputs,/Aux_Outputs/{n}/Output/meter/right,[],none (meter/empty)
/Aux_Outputs/1/Output/meter2,Aux_Outputs,/Aux_Outputs/{n}/Output/meter2,[],none (meter/empty)
/Aux_Outputs/1/Output/meter4,Aux_Outputs,/Aux_Outputs/{n}/Output/meter4,[],none (meter/empty)
/Aux_Outputs/1/alternate_solo,Aux_Outputs,/Aux_Outputs/{n}/alternate_solo,[0.0],float (0/1 flag)
/Aux_Outputs/1/auto_solo,Aux_Outputs,/Aux_Outputs/{n}/auto_solo,[0.0],float (0/1 flag)
/Aux_Outputs/1/fader,Aux_Outputs,/Aux_Outputs/{n}/fader,[0.17724137008190155],float
/Aux_Outputs/1/fader_meter/left,Aux_Outputs,/Aux_Outputs/{n}/fader_meter/left,[],none (meter/empty)
/Aux_Outputs/1/fader_meter/right,Aux_Outputs,/Aux_Outputs/{n}/fader_meter/right,[],none (meter/empty)
/Aux_Outputs/1/hard_mute,Aux_Outputs,/Aux_Outputs/{n}/hard_mute,[0.0],float (0/1 flag)
/Aux_Outputs/1/mute,Aux_Outputs,/Aux_Outputs/{n}/mute,[1.0],float (0/1 flag)
/Aux_Outputs/1/sends_to_faders,Aux_Outputs,/Aux_Outputs/{n}/sends_to_faders,[0.0],float (0/1 flag)
/Aux_Outputs/1/sends_to_rotaries,Aux_Outputs,/Aux_Outputs/{n}/sends_to_rotaries,[0.0],float (0/1 flag)
/Aux_Outputs/1/solo,Aux_Outputs,/Aux_Outputs/{n}/solo,[0.0],float (0/1 flag)
